Subject,Gender,Age,Education,Experience,Location,Total_Area,Labour_Capacity,Farm_Size,Breed_Type,Annual_Production_Capacity,Farm_Type,Confinement_Type,Flock_Management,Bedding_Material ,Cleaning_Frequency,Litter_Storage_Type,Stocking_Density_Summer,Stocking_Density_Winter,Maize,Soybean,Barley,Canola,Epidemic_Prevention_Training,Veterinary_Clinic_Access,Penicillins,Tetracyclins,Aminoglycosides,Macrolides,Quinolones,Sulfonamides_and_Trimethoprim,Polymyxin,Mucolytic_drugs,Dewormers,Antibiotic_Growth_Promoters ,Knowledge_Newcastle_disease,Knowledge_Avian_influenza,Knowledge_Marek_disease,Knowledge_Infectious_bronchitis,Knowledge_Infectious_bursal_disease,Knowledge_Coccidiosis,Knowledge_Colibacillosis,Knowledge_Prolapse,Knowledge_Fowl_Typhoid,Practices_Regular_Vaccination,Practices_Quality_Feed,Practices_Veterinary_Drugs_Use,Practices_Open_Environent,Practices_Productive_Breeds,Practices_Good_Hygeine,Practices_Management,DiseaseOutbreak,Health_Issue_Staff
P1,Male,67,Masters,<5,Haripur,2000,<3,Small (500-1500 Birds),Desi or their crosses,5000-8000,Semi Controlled,Closed house with solid walls,Flock continously topped ,wood shaving,Every 5 days,Open Place,2 to 3,2.5 to 3.5,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
P2,Male,28,Masters,<5,Taxila,5000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"10,000-12,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 10 days,Pit,2.5 to 3.5,3.5 to 4,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
P3,Male,36,Bachelors,<5,Islamabad,3000,<3,Small (500-1500 Birds),Desi or their crosses,5000-8000,Open,Open house with mesh,Flock continously topped ,Sand,Every 10 days,Open Place,4 to 5,4 to 5,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No
P4,Male,38,Bachelors,<5,Khanpur,5000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 30 days,Pit,2.5 to 3,3 to 3.5,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
P5,Female,33,Masters,<5,Islamabad,3000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Semi Controlled,Closed house with solid walls,All in all out farm birds,wood shaving,Every 5 days,Pit,2 to 3,2.5 to 3.5,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
P6,Male,36,Masters,>10,Islamabad,7500,>5,Large (>3000 birds),Broiler,">20,000",Semi Controlled,Closed house with solid walls,All in all out farm birds,rice husk,Every 30 days,Pit,1 to 1.5,1 to 1.5,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes
P7,Male,36,Masters,<5,Islamabad,4000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,All in all out farm birds,rice husk,Every 5 days,Pit,3 to 4,3 to 4,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
P8,Male,56,Bachelors,5 to 10,Chakri,6000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"<10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
P9,Male,65,PhD,5 to 10,Islamabad,8000,3 to 5,Medium (1000-2000 Birds),Desi or their crosses,"<10,000",Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,4 to 5,4 to 5,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
P10,Male,36,Masters,<5,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
P11,Male,25,Bachelors,<5,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Flock continously topped ,wood shaving,Every 5 days,Pit,4 to 5,4 to 5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
P12,Male,40,Middle,5 to 10,Islamabad,8000,3 to 5,Large (>3000 birds),Layer,">10,000",Open,Open house with mesh,Flock continously topped ,rice husk,Every 30 days,Pit,2 to 3,2 to 3,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
P13,Male,36,Masters,>10,Islamabad,8000,3 to 5,Large (>3000 birds),Layer,">10,000",Semi Controlled,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
P14,Male,40,Middle,5 to 10,Islamabad,8000,3 to 5,Large (>3000 birds),Desi or their crosses,">10,000",Open,Open house with mesh,Multiple flocks and All in All out for each flock,rice husk,Every 10 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
P15,Male,36,Masters,5 to 10,Islamabad,5000,<3,Small (500-1500 Birds),Desi or their crosses,<5000,Open,Open house with mesh,Multiple flocks and All in All out for each flock,wood shaving,Every 5 days,Pit,2 to 3,2 to 3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No
